Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
TOI-1136 c,TOI-1136,6.2569,2.76948277,7.6,965.39,0.067,0,5805,0.9573,1.0404
HD 93963 A b,HD 93963 A,1.0376109,1.46954368,2.8,1842.23,0.02061,0,5908,1.0311,1.0844
GJ 143 b,GJ 143,35.61253,2.61,22.7,422,0.1915,0.188,4640,0.695,0.73
TOI-2583 A b,TOI-2583 A,4.5207265,14.4595851,79.45710175,1456,0.0571,0,5936,1.477,1.215
TOI-4860 b,TOI-4860,1.5227591,8.7,86.7,694,0.01808,0.008,3260,0.358,0.34
Kepler-423 b,Kepler-423,2.6843285,13.361,189.101,1605,0.03585,0.019,5560,0.95,0.85
TOI-815 b,TOI-815,11.197259,2.94,7.6,686,0.0903,0.2,4869,0.77,0.776
Kepler-77 b,Kepler-77,3.57878087,10.761,136.661,1440,0.04501,0,5520,0.99,0.95
WASP-60 b,WASP-60,4.3050011,9.64,163.358,1320,0.0531,0,5900,1.14,1.078
HATS-60 b,HATS-60,3.560829,12.923977,210.40346,1528,0.04708,0.191,5688,1.46,1.097
HATS-65 b,HATS-65,3.105161,16.824709,260.93843,1634,0.04497,0.062,6277,1.31,1.257
Qatar-3 b,Qatar-3,2.5079204,12.285064,1369.8473,1681,0.03783,0,6007,1.272,1.145
TOI-286 b,TOI-286,4.5117244,1.42,4.53,979,0.0503,0,5152,0.78,0.832
HAT-P-26 b,HAT-P-26,4.234516,6.333,18.751,1001,0.0479,0.124,5079,0.788,0.816
HD 28109 b,HD 28109,22.89104,2.199,18.496,881.2,0.1357,0.3307,6120,1.446,1.26
TOI-4791 b,TOI-4791,4.28088,12.44196858,734.1836202,1472,0.0555,0,6058,1.409,1.242
CoRoT-5 b,CoRoT-5,4.0378962,15.558,148.42,1438,0.04947,0.09,6100,1.186,1
TOI-3877 b,TOI-3877,4.123596,11.67975789,99.7981198,1445,0.0529,0.22,5731,1.445,1.16
TOI-858 B b,TOI-858 B,3.2797178,14.06727078,349.6112477,1529,0.04435,0.15,5842,1.308,1.081
LP 714-47 b,LP 714-47,4.052037,4.7,30.8,700,0.0417,0.04,3950,0.584,0.59
CoRoT-10 b,CoRoT-10,13.2406,10.87,874,600,0.1055,0.53,5075,0.79,0.89
HATS-69 b,HATS-69,2.2252577,10.592505,183.38791,1295.7,0.03211,0.519,5137,0.8785,0.892
TOI-481 b,TOI-481,10.33111,11.09691,486.2799,1370,0.097,0.153,5735,1.66,1.14
WASP-169 b,WASP-169,5.6114118,14.616536,178.30263,1604,0.0681,0,6110,2.011,1.337
TOI-2989 b,TOI-2989,3.122832,12.55405838,953.485221,1001,0.0384,0,4672,0.76,0.77
TOI-1751 b,TOI-1751,37.46852,2.9507845,19.5,651.64,0.215,0.327,5970,1.3137,0.9382
TOI-778 b,TOI-778,4.633611,15.4,878,1561,0.06,0.21,6643,1.71,1.4
TOI-1269 b,TOI-1269,4.2529913,2.40144286,6.4,1004.9,0.0496,0,5499,0.8521,0.9027
TOI-3785 b,TOI-3785,4.6747373,5.14,14.95,582,0.043,0.11,3576,0.5,0.52
HATS-29 b,HATS-29,4.6058749,14.022459,207.54299,1212,0.05475,0.158,5670,1.073,1.032
TOI-1064 c,TOI-1064,12.226574,2.651,2.5,634,0.09429,0.088,4734,0.726,0.748
WASP-172 b,WASP-172,5.477433,17.59813,149.3801,1740,0.0694,0,6900,1.91,1.49
TOI-3757 b,TOI-3757,3.438753,12,85.3,759,0.03845,0.14,3913,0.62,0.64
WASP-160 B b,WASP-160 B,3.7684952,12.21781,88.35674,1119,0.0452,0,5298,0.868,0.87
TOI-1669 c,TOI-1669,2.6800535,2.2963977,13,1285.16,0.0376,0,5497,1.0561,0.9867
HR 858 b,HR 858,3.585287,2.004,3.55,1552,0.04888,0,6354,1.258,1.204
XO-5 b,XO-5,4.1877558,12.78,378.2,1230,0.0515,0,5430,1.13,1.04
TOI-757 b,TOI-757,17.46819,2.5,10.5,641,0.122,0.39,5278,0.78,0.8
HAT-P-54 b,HAT-P-54,3.799847,10.581296,241.5508,818,0.04117,0.074,4390,0.617,0.645
MASCARA-4 b,MASCARA-4,2.82406,17.14977,985.273,2100,0.047,0,7800,1.92,1.75
TOI-1249 b,TOI-1249,13.079151,3.2710301,11.9,726.89,0.109,0,5497,0.9785,1.0062
TOI-431 d,TOI-431,12.46103,3.29,9.9,633,0.098,0,4850,0.731,0.78
TOI-2095 c,TOI-2095,28.17232,1.33,7.4,297,0.137,0,3759,0.44,0.44
