Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
Kepler-434 b,Kepler-434,12.8747099,12.67,908.96,1000,0.1143,0.131,5977,1.38,1.198
Kepler-111 c,Kepler-111,224.77833,7.0840758,222.4798849,352.2,0.751,0.176,5914,1.145,1.118
NGTS-15 b,NGTS-15,3.27623,12.32987877,238.6891337,1146,0.0441,0,5600,0.954,0.995
K2-38 c,K2-38,10.56103,2.49,7.4,949,0.0959,0.086,5705,1.141,1.054
TIC 139270665 b,TIC 139270665,23.624,7.22979255,147.1545524,703,0.163,0.105,5844,1.016,1.035
Kepler-454 b,Kepler-454,10.5737534,2.37,5.4,916,0.09528,0.32,5687,1.066,1.03
HATS-37 A b,HATS-37 A,4.3315366,6.792654,31.46517,1085,0.04913,0,5326,0.877,0.843
CoRoT-22 b,CoRoT-22,9.75598,4.88,12.2,885,0.092,0.077,5939,1.136,1.099
Kepler-1655 b,Kepler-1655,11.8728787,2.213,5.4,938,0.1029,0.19,6148,1.03,1.03
K2-229 c,K2-229,8.32834,2.12,21.3,800,0.07577,0,5185,0.793,0.837
K2-24 b,K2-24,20.8851,5.68,21,767,0.154,0,5743,1.21,1.12
EPIC 248847494 b,EPIC 248847494,3650,12.44199,4131.79,183,4.5,0,4898,2.7,0.9
NGTS-16 b,NGTS-16,4.84532,14.57167491,211.9915475,1177,0.0523,0,5550,1.213,1.002
CoRoT-17 b,CoRoT-17,3.7681,11.43,772.29,1626,0.0461,0,5740,1.59,1.04
BD+20 594 b,BD+20 594,41.6855,2.23,16.3,546,0.241,0,5766,0.928,0.961
KOI-134 b,KOI-134,67.1277,12.03844527,346.4329636,659,0.363,0.16,6160,1.667,1.407
Kepler-849 b,Kepler-849,394.62508,8.08167508,298.7587026,362.7,1.137,0.078,5950,1.822,1.259
HD 137496 b,HD 137496,1.62116,1.31,4.04,2130,0.02732,0,5799,1.59,1.04
K2-292 b,K2-292,16.9841,2.63,24.5,795,0.13,0.04,5725,1.09,1
Kepler-138 d,Kepler-138,23.0923,1.51,2.1,345,0.1288,0.01,3841,0.535,0.535
Kepler-38 b,Kepler-38,105.599,4.3,122,475,0.4632,0.032,5623,1.752,0.941
Kepler-391 c,Kepler-391,20.501,2.88,450,662,0.164,0.27,5038,2.879,1.27
Kepler-409 b,Kepler-409,68.9583216,1.199,6,438,0.3192,0.69,5421,0.897,0.913
NGTS-23 b,NGTS-23,4.0764326,14.20177855,194.8288135,1327,0.0504,0,6057,1.24,1.01
